,ev1,ev2
0,(-0.5165202814462224+0.05842905972234264j),(-2.0941730889098844-0.20795088700189832j)
1,(-0.5280643247710133+0.0643914140802686j),(-2.081162614633544-0.22325415460134165j)
2,(-0.5406046608253968+0.07048237780476824j),(-2.066788518866398-0.2386246094918885j)
3,(-0.5541905628053347+0.07668559891153219j),(-2.051005214352786-0.2540297545781972j)
4,(-0.5688760036716973+0.08298783844818265j),(-2.033763204185678-0.26944052244549344j)
5,(-0.5847205142484072+0.08937989857231447j),(-2.0150081897213155-0.2848322416088036j)
6,(-0.6017901705625771+0.09585789343956302j),(-1.9946800489527963-0.30018594165158136j)
7,(-0.6201587132873387+0.10242499644557448j),(-1.9727116828245188-0.31549013136637677j)
8,(-0.6399087794823558+0.10909385555135602j),(-1.949027749450653-0.33074324215572304j)
9,(-0.6611331791299029+0.11588995225190657j),(-1.9235433537548288-0.34595701270107504j)
10,(-0.6839360527046616+0.12285629797809793j),(-1.8961628562104973-0.3611612090343952j)
11,(-0.708433556539535+0.13006002059218308j),(-1.8667791537831944-0.3764102329077659j)
12,(-0.7347533569257034+0.13760158400149386j),(-1.8352741519839133-0.3917923616173512j)
13,(-0.763031523487251+0.1456275438049319j),(-1.8015218373538657-0.4074425222398316j)
14,(-0.7934041585281811+0.15434765796363412j),(-1.7653966135764256-0.4235594192476918j)
15,(-0.8259889925978166+0.1640562468524183j),(-1.7267916709087874-0.44042690978744675j)
16,(-0.8608492333344101+0.17515450637699712j),(-1.6856551018609973-0.458436330205839j)
17,(-0.8979298609023554+0.18816234367311713j),(-1.6420535698422491-0.4780983432299922j)
18,(-0.9369620617619657+0.20369276733421693j),(-1.5962678391135012-0.5000173376416276j)
19,(-0.9773593689377934+0.22234582439107178j),(-1.548896597994044-0.5247853725761938j)
20,(-1.0181866882478505+0.2444978780940327j),(-1.500887396000542-0.5527714604254812j)
21,(-1.0583134772059914+0.27006393551823005j),(-1.4533834283662588-0.5838838973164511j)
22,(-1.0967427812859438+0.2984271208132048j),(-1.407394463423724-0.6174997369659385j)
23,(-1.132899091069531+0.3286399591823602j),(-1.3635089495050412-0.652666073000247j)
24,(-1.166675066037059+0.35974064089679414j),(-1.3218472557784384-0.6884162990718626j)
25,(-1.198282442296511+0.39096202404996133j),(-1.2822107298965866-0.7239791055289835j)
26,(-1.2280717227152897+0.4217801201516551j),(-1.2442619741577086-0.7588269568047793j)
27,(-1.256412028089209+0.4518725787584125j),(-1.207644961699926-0.7926345658082141j)
28,(-1.283634935854047+0.48105674516158053j),(-1.172041166367678-0.8252169394361296j)
29,(-1.3100173815917173+0.5092379748470411j),(-1.1371866311307113-0.8564776790305024j)
30,(-1.3357825906735044+0.5363739951462754j),(-1.1028710078335158-0.8863733263196069j)
31,(-1.3611073898164212+0.562452370039874j),(-1.0689302186075986-0.9148908109307146j)
32,(-1.3861306623598812+0.5874768619841232j),(-1.0352379752358594-0.942033793477287j)
33,(-1.4109609860359076+0.6114593855954891j),(-1.0016981177807183-0.967814599192342j)
34,(-1.435682929630837+0.6344153543794457j),(-0.9682382961519366-0.9922495434346988j)
35,(-1.4603620393194692+0.6563610533149816j),(-0.934804963896063-1.015356282022139j)
36,(-1.4850487186722277+0.6773122115292034j),(-0.9013594802596978-1.0371523607702449j)
37,(-1.5097812298165474+0.6972832819117023j),(-0.8678750930882679-1.0576544712318388j)
38,(-1.5345880157572995+0.7162871340029993j),(-0.8343346025888135-1.0768781191168595j)
39,(-1.5594895047760609+0.7343349851659893j),(-0.8007285450616731-1.0948375305468363j)
40,(-1.5844995212728854+0.7514364656326022j),(-0.7670537722535127-1.1115456918805535j)
41,(-1.609626397366298+0.7675997551433469j),(-0.7333123320244014-1.1270144609717423j)
42,(-1.6348738562153542+0.7828317541590596j),(-0.69951057936636-1.1412547129795625j)
43,(-1.6602417203588122+0.7971382678418221j),(-0.6656584644731914-1.154276499068361j)
44,(-1.6857264851636595+0.8105241901985089j),(-0.6317689577586398-1.166089205527635j)
45,(-1.7113217876553852+0.8229936813428084j),(-0.5978575815349783-1.1767017064031948j)
46,(-1.7370187937001353+0.8345503341865008j),(-0.5639420253627386-1.1861225060835667j)
47,(-1.762806521064525+0.8451973288785384j),(-0.5300418275238862-1.1943598702916896j)
48,(-1.788672111803006+0.8549375744933373j),(-0.4961781091449555-1.201421945113657j)
49,(-1.8146010643552637+0.8637738381471864j),(-0.4623733505637308-1.2073168643735175j)
50,(-1.8405774334143223+0.8717088620904471j),(-0.42865120185531846-1.212052846032846j)
51,(-1.8665840038582096+0.8787454695048418j),(-0.39503632120317866-1.215638278477879j)
52,(-1.8926024436835505+0.8848866598051145j),(-0.3615542361578625-1.218081797631442j)
53,(-1.918613439835553+0.8901356942490536j),(-0.3282312238738229-1.2193923558386381j)
54,(-1.944596820019492+0.8944961726285413j),(-0.2950942072284285-1.219579283453914j)
55,(-1.970531662947632+0.8979721017642573j),(-0.2621706643632031-1.2186523440208819j)
56,(-1.9963963989810556+0.9005679564690589j),(-0.22948854968675925-1.216621783896721j)
57,(-2.022168902735741+0.9022887335855838j),(-0.19707622477295966-1.213498377137149j)
58,(-2.047826578914079+0.9031399996465259j),(-0.1649623978991636-1.2092934664302912j)
59,(-2.073346442377413+0.9031279326527002j),(-0.13317607121529512-1.2040190008514953j)
60,(-2.0987051932795606+0.9022593584153836j),(-0.10174649472694444-1.1976875712078414j)
61,(-2.1238792879245363+0.9005417818660731j),(-0.0707031264237862-1.190312443752593j)
62,(-2.1488450058854833+0.8979834136978532j),(-0.04007559799383765-1.181907593077127j)
63,(-2.1735785138206856+0.894593192668619j),(-0.009893685637923647-1.1724877350320484j)
64,(-2.198055926340246+0.890380803866162j),(0.01981271446206096-1.1620683605910174j)
65,(-2.2222533642111277+0.8853566932087811j),(0.049013606464129264-1.150665771650867j)
66,(-2.2461470101343575+0.8795320784318316j),(0.07767891145531182-1.1382971198598024j)
67,(-2.269713162284838+0.8729189567901862j),(0.10577848086911451-1.1249804496811135j)
68,(-2.2929282857689692+0.8655301096886212j),(0.13328210742648428-1.110734747030331j)
69,(-2.3157690621266056+0.8573791044361382j),(0.16015953449552073-1.0955799949646845j)
70,(-2.338212436980857+0.8484802933062159j),(0.1863804650446231-1.079537238046716j)
71,(-2.3602356659203956+0.8388488100723208j),(0.21191457173961484-1.0626286571357477j)
72,(-2.381816358683683+0.8285005641767247j),(0.23673151022739775-1.0448776564607758j)
73,(-2.402932521702579+0.8174522326807505j),(0.2608009382777682-1.0263089648657153j)
74,(-2.4235625990525387+0.8057212501351209j),(0.28409254424114216-1.0069487530478063j)
75,(-2.443685511849021+0.7933257965011885j),(0.30657608923803753-0.986824768370689j)
76,(-2.463280696123267+0.7802847832460045j),(0.3282214686292801-0.9659664883413013j)
77,(-2.4823281392055545+0.7666178377274872j),(0.34899879960474717-0.9444052929857282j)
78,(-2.5008084146400473+0.752345285979624j),(0.3688785431167151-0.9221746550101638j)
79,(-2.518702715652267+0.73748813400185j),(0.38783166975675915-0.8993103446352879j)
80,(-2.5359928871878257+0.7220680476515009j),(0.40582988033618944-0.8758506431872569j)
81,(-2.55266145653894+0.7061073312332817j),(0.42284589257173855-0.8518365557834516j)
82,(-2.5686916625741643+0.6896289048752542j),(0.4388538049630631-0.8273120087119316j)
83,(-2.584067483585473+0.6726562807766184j),(0.45382954710307716-0.8023240114740677j)
84,(-2.598773663766278+0.6552135384088406j),(0.46775142161467786-0.7769227573068831j)
85,(-2.6127957383333262+0.6373252987480018j),(0.4806007359872101-0.7511616300701606j)
86,(-2.626120057305323+0.6190166976131168j),(0.4923625123157883-0.7250970808868754j)
87,(-2.63873380795092+0.6003133581821254j),(0.5030262493297536-0.6987883365474326j)
88,(-2.650625035918882+0.5812413627544882j),(0.5125866949701054-0.6722969054111203j)
89,(-2.661782665063387+0.5618272238268893j),(0.5210445711190745-0.6456858572228916j)
90,(-2.6721965159778+0.5420978545461629j),(0.5284071781101563-0.6190188719676777j)
91,(-2.681857323250811+0.5220805386015698j),(0.5346887994529512-0.592359079041243j)
92,(-2.69075675145922+0.5018028996165876j),(0.5399108308634673-0.5657677387779104j)
93,(-2.6988874099126887+0.4812928700987503j),(0.5441015748415802-0.5393028485403246j)
94,(-2.706242866166314+0.46057866000450887j),(0.5472956724545489-0.5130177784562849j)
95,(-2.712817658318135+0.4396887249747389j),(0.5495331837522509-0.48696005110999985j)
96,(-2.718607306109652+0.4186517342953486j),(0.5508583701900022-0.46117037121211196j)
97,(-2.7236083208489563+0.3974965386363572j),(0.5513182679823934-0.4356819858388683j)
98,(-2.7278182141773253+0.37625213762190607j),(0.5509611630807947-0.4105204180714568j)
99,(-2.73123550570212+0.3549476472828697j),(0.5498350826224387-0.3857035746720227j)
100,(-2.7338597295206513+0.3336122674430388j),(0.5479864049530893-0.3612421902494118j)
101,(-2.7356914396618617+0.3122752490892381j),(0.5454586652699539-0.33714054269002186j)
102,(-2.7367322144752317+0.2909658617752218j),(0.5422916031565899-0.31339736049988304j)
103,(-2.7369846599992953+0.26971336110873523j),(0.53852046821796-0.29000684161331486j)
104,(-2.736452412345037+0.24854695637064886j),(0.534175575360535-0.26695971211681774j)
105,(-2.735140139133597+0.2274957783146934j),(0.5292820843212171-0.24424426807222102j)
106,(-2.7330535400311966+0.20658884719581083j),(0.5238599690097495-0.22184736025250018j)
107,(-2.730199346429528+0.18585504107465484j),(0.5179241398293046-0.19975529714865964j)
108,(-2.726585320324518+0.16532306444510877j),(0.511484684454384-0.17795465429945473j)
109,(-2.7222202524528067+0.14502141723091871j),(0.5045471976020017-0.15643298714778595j)
110,(-2.7171139597515532+0.1249783641964725j),(0.4971131764734516-0.13517945031965237j)
111,(-2.711277282215203+0.10522190481546946j),(0.4891804645643489-0.1141853289818819j)
112,(-2.704722079231046+0.08577974363941739j),(0.48074373167850876-0.0934444884814216j)
113,(-2.697461225485172+0.0666792612056707j),(0.4717949818390556-0.07295374754257147j)
114,(-2.689508606541475+0.04794748552174158j),(0.462324083240305-0.05271317857328474j)
115,(-2.6808791142082637+0.02961106415883847j),(0.45231931548558374-0.032726336678551494j)
116,(-2.6715886418214354+0.01169623698272881j),(0.44176792929681047-0.013000417256249073j)
117,(-2.661654079588038-0.005771190456182132j),(0.43065671293733976+0.006453659095966598j)
118,(-2.651093310152472-0.02276587285947675j),(0.41897255809671713+0.02562123597445605j)
119,(-2.6399252045663126-0.03926295043988928j),(0.40670301631569833+0.04448398589885887j)
120,(-2.6281696188660133-0.05523807351124071j),(0.393836835557305+0.06302004993208041j)
121,(-2.6158473914865352-0.07066742643293515j),(0.38036446559699555+0.08120424950418773j)
122,(-2.6029803417674775-0.0855277509522118j),(0.3662785207786933+0.0990083650010249j)
123,(-2.5895912698390635-0.099796369011493j),(0.3515741895165642+0.11640147275089478j)
124,(-2.5757039582096306-0.11345120511818893j),(0.3362495817267864+0.1333503293132j)
125,(-2.561343175414699-0.12647080841149266j),(0.3203060080146344+0.14981978979802812j)
126,(-2.546534682129405-0.1388343746067576j),(0.30374818765882383+0.16577324561229975j)
127,(-2.531305240191973-0.1505217680549211j),(0.28658438588350255+0.18117306671277375j)
128,(-2.515682625035355-0.16151354422463154j),(0.26882648422319494+0.1959810341952105j)
129,(-2.499695642076778-0.17179097300125584j),(0.2504899906443135+0.21015875078135296j)
130,(-2.483374147670155-0.18133606330335794j),(0.2315939982620353+0.22366801929491034j)
131,(-2.4667490752823973-0.1901315896480395j),(0.21216110288353424+0.2364711822853358j)
132,(-2.4498524676094244-0.19816112145686982j),(0.1922172902437576+0.24853141926646927j)
133,(-2.432717515398016-0.20540905609043025j),(0.17179180379839587+0.259813001283678j)
134,(-2.4153786037798652-0.21186065683900054j),(0.15091700346157494+0.27028150543323404j)
135,(-2.397871366947638-0.21750209738836507j),(0.1296282248698735+0.27990399431963126j)
136,(-2.380232751998887-0.22232051463274488j),(0.10796364771416014+0.28864916713559857j)
137,(-2.36250109272725-0.22630407213233836j),(0.08596418044466635+0.29648749009133346j)
138,(-2.344716194032595-0.22944203702221622j),(0.06367336722820058+0.3033913144265551j)
139,(-2.326919427423924-0.23172487378336593j),(0.04113732142911231+0.30933499041554724j)
140,(-2.309153837764996-0.233144358995047j),(0.018404688131862287+0.3142949858476728j)
141,(-2.29146426091346-0.23369372200508226j),(-0.0044733636228191575+0.31825001762068555j)
142,(-2.2738974511663828-0.23336781737836548j),(-0.02744312011063587+0.3211812054286762j)
143,(-2.256502216366692-0.2321633359959028j),(-0.05044827687305697+0.3230722570781264j)
144,(-2.239329557045815-0.2300790627366693j),(-0.0734298725783271+0.32390969566496913j)
145,(-2.2224328039561585-0.22711618970527045j),(-0.0963262103595954+0.3236831395754515j)
146,(-2.205867745646453-0.2232786948401247j),(-0.11907277698121456+0.32238564686690596j)
147,(-2.189692734210154-0.21857379624340828j),(-0.1416021736368165+0.3200141358146043j)
148,(-2.173968752865561-0.21301249240719725j),(-0.16384407649341773+0.31656989296580357j)
149,(-2.1587594235375587-0.2066101972313035j),(-0.18572525038472915+0.3120591784906611j)
150,(-2.144130926156603-0.19938747574572271j),(-0.20716964530500326+0.30649393538230507j)
151,(-2.130151794245529-0.19137088101842248j),(-0.22809861230716197+0.2998926033992367j)
152,(-2.1168925441564874-0.1825938839874436j),(-0.24843128244639806+0.2922810297091408j)
153,(-2.104425089188791-0.17309787504980217j),(-0.2680851583939332+0.28369345513098676j)
154,(-2.0928218865686223-0.16293319855516045j),(-0.28697697146925216+0.27417353706711434j)
155,(-2.082154767442945-0.15216015890918655j),(-0.30502385456030945+0.2637753476846709j)
156,(-2.0724934107801376-0.14084991098887828j),(-0.32214487056868885+0.2525642598402473j)
157,(-2.0639034446526403-0.129085121006837j),(-0.33826291335475245+0.24061760663466725j)
158,(-2.056444195217164-0.11696026210066755j),(-0.3533069612488915+0.228024978599105j)
159,(-2.050166154868129-0.10458139924779979j),(-0.36721461197491917+0.2148880128253521j)
160,(-2.0451083025031602-0.09206532925019467j),(-0.3799347663164238+0.2013195394939587j)
161,(-2.0412954712577838-0.07953798090137801j),(-0.3914302653926466+0.18744199062537362j)
162,(-2.0387360080458747-0.0671320507136163j),(-0.40168023739136577+0.17338504615258293j)
163,(-2.0374199881057318-0.05498394518007797j),(-0.410681890708102+0.15928258802218254j)
164,(-2.037318222841842-0.04323020606996024j),(-0.4184515153209356+0.14526913856745408j)
165,(-2.0383822262158087-0.0320036876550908j),(-0.4250245272412877+0.1314760518126301j)
166,(-2.040545193023779-0.02142980980632565j),(-0.4304545027764288+0.1180277814232997j)
167,(-2.043723913804791-0.011623211840895476j),(-0.4348112779153416+0.10503854997715735j)
168,(-2.0478214346084354-0.00268507655269947j),(-0.4381783046535953+0.09260968879651478j)
169,(-2.052730190964853+0.005298704394827376j),(-0.44064953495054016+0.08082781934741211j)
170,(-2.058335317989216+0.012258469146911203j),(-0.4423261304202166+0.06976393061135525j)
171,(-2.0645178614001103+0.01814088245823085j),(-0.44331327301199996+0.05947329823003171j)
172,(-2.071157673807145+0.02290832545505404j),(-0.44371729236852986+0.04999611044488154j)
173,(-2.0781358576655604+0.026537757280946626j),(-0.4436432485176852+0.04135862177370726j)
174,(-2.085336692670105+0.02901923663438344j),(-0.4431930321970865+0.033574646277409706j)
175,(-2.0926490484937292+0.030354273933435646j),(-0.44246398199524717+0.026647219531353773j)
176,(-2.099967327903494+0.030554152287231535j),(-0.4415479733867126+0.020570290948781815j)
177,(-2.107192010289526+0.029638317636516382j),(-0.44053090975307313+0.015330345885803856j)
178,(-2.114229874853741+0.02763290251590177j),(-0.4394925362825306+0.010907892818007633j)
179,(-2.12099398078175+0.024569417901506345j),(-0.4385064995650308+0.007278780804110465j)
180,(-2.127403473164437+0.020483624976054354j),(-0.4376405842401429+0.004415335007288227j)
181,(-2.133383271835594+0.015414583111335523j),(-0.4369570696148846+0.002287313491092822j)
182,(-2.1388636881213974+0.009403860798645337j),(-0.436513161269394+0.0008626979870101153j)
183,(-2.143780003227301+0.002494891226354124j),(-0.4363614638334941+0.00010833627884132461j)
184,(-2.148072032332384-0.005267547651324231j),(-0.4365504706311665-9.544361419376405e-06j)
185,(-2.1516836906286123-0.013837748521916778j),(-0.4371250535450916+0.0004750665262578295j)
186,(-2.1545625714486416-0.023169404194138047j),(-0.43812694234213817+0.0015282744069018428j)
187,(-2.1566595420387844-0.03321586779619943j),(-0.43959518706675466+0.003116515662019891j)
188,(-2.15792835917397-0.04393035821696746j),(-0.4415666002523352+0.0052067315923789124j)
189,(-2.158325304402233-0.05526612326575297j),(-0.44407617792074244+0.0077664926757450336j)
190,(-2.1578088370018853-0.0671765711965596j),(-0.4471574999091821+0.010764083695203056j)
191,(-2.156339261529913-0.07961537970618661j),(-0.45084311121191745+0.014168559149962059j)
192,(-2.1538784059680554-0.0925365903081112j),(-0.45516488693751134+0.01794977751067867j)
193,(-2.1503893058033294-0.10589469512171386j),(-0.460154384301454+0.02207842236793068j)
194,(-2.1458358888072366-0.11964472261129137j),(-0.46584318589958423+0.0265260183206399j)
195,(-2.1401826547212277-0.1337423286810799j),(-0.4722632394045128+0.03126494954556821j)
196,(-2.1333943434484226-0.1481438998185444j),(-0.4794471998316133+0.03626848938955214j)
197,(-2.125435584637334-0.16280667574435287j),(-0.4874287816491745+0.041510850084161575j)
198,(-2.11627052067769-0.17768890038101884j),(-0.4962431292621042+0.04696726290614379j)
199,(-2.1058623940749475-0.19275001206004172j),(-0.5059272157768208+0.0526141009798992j)
