,ev_1,ev_2
0,(0.5967113204417499-2.339029302739919j),(-1.2121561275803359-0.5477555877193474j)
1,(0.5957347193352183-2.3109107859189058j),(-1.2120490714973364-0.5836721729118246j)
2,(0.5940139305174175-2.2827396747950233j),(-1.2109694721550759-0.6196908832541735j)
3,(0.5915559770724149-2.2545311012666582j),(-1.2089205987954923-0.6557890462655522j)
4,(0.5883690205514318-2.2262992117291462j),(-1.2059071193345883-0.6919447783801812j)
5,(0.5844624144667575-2.1980570719346737j),(-1.2019351648144676-0.7281370839192481j)
6,(0.5798467705400282-2.1698165663267575j),(-1.1970124067821888-0.7643459604512516j)
7,(0.5745340407034791-2.1415882917994375j),(-1.1911481505654327-0.8005525105960416j)
8,(0.5685376185125832-2.113381446107064j),(-1.1843534480734286-0.8367390600542711j)
9,(0.561872464425553-2.085203711579762j),(-1.1766412345477308-0.8728892812161219j)
10,(0.5545552603588705-2.057061135452799j),(-1.1680264946399894-0.9089883210530975j)
11,(0.5466046000503353-2.028958009088155j),(-1.1585264643150026-0.9450229310290678j)
12,(0.538041223052032-2.0008967497872785j),(-1.1481608763662892-0.9809815953496643j)
13,(0.5288883016040558-1.9728777909447024j),(-1.1369522587577516-1.0168546518222923j)
14,(0.5191717911253143-1.9448994892154243j),(-1.1249262964868723-1.0526343966799145j)
15,(0.5089208564247318-1.9169580614807042j),(-1.112112269027598-1.0883151606146895j)
16,(0.49816838665753044-1.889047570091922j),(-1.0985435763262752-1.1238933375769893j)
17,(0.4869516119484109-1.8611599826099865j),(-1.0842583662135632-1.15936734016186j)
18,(0.4753128325129203-1.8332853425051148j),(-1.0693002739950332-1.194737445161356j)
19,(0.4633002654972464-1.805412100365789j),(-1.0537192793603818-1.2300054797799842j)
20,(-1.0375726742947844-1.2651742832057054j),(0.45096900331431733-1.7775276709712236j)
21,(-1.0209261151318492-1.3002468608251698j),(0.43838205672606695-1.7496192989843935j)
22,(-1.003854698119999-1.3352251324543127j),(0.4256114221722882-1.7216753319356508j)
23,(-0.9864439465323797-1.3701081679709044j),(0.41273906152440143-1.6936870071432915j)
24,(-0.9687905257862295-1.404889815154433j),(0.3998576108991635-1.6656508477855754j)
25,(-0.9510024143332877-1.4395556729387893j),(0.38707054648345074-1.6375717149205602j)
26,(-0.9331981677200364-1.474079470799645j),(0.3744914449783306-1.6094664547088489j)
27,(-0.915504857182786-1.508419100575722j),(0.3622419202537619-1.5813678944866862j)
28,(-0.8980543030048773-1.5425128086749382j),(0.3504478566802134-1.5533286796473944j)
29,(-0.880977430315536-1.5762763446786396j),(0.339233767062256-1.5254241551837782j)
30,(-0.8643969975964829-1.6096020582113226j),(0.3287155256838501-1.4977532998413488j)
31,(-0.8484195380797432-1.6423608687760336j),(0.31899231688044427-1.4704367879472238j)
32,(-0.8331279164833736-1.674407566695174j),(0.31013920179213406-1.4436117204867362j)
33,(-0.8185761347590809-1.7055890721571816j),(0.30220193714241567-1.4174233980868916j)
34,(-0.8047876806560951-1.7357543684162855j),(0.2951953399665586-1.3920154194723657j)
35,(-0.791757836341058-1.764764262334011j),(0.2891056155851715-1.367519951780107j)
36,(-0.7794593091249868-1.7924992083837903j),(0.28389601085428673-1.3440499361607334j)
37,(-0.7678497838369054-1.81886410859717j),(0.2795143921279132-1.3216943157290963j)
38,(-0.7568798036823078-1.8437899122129282j),(0.27590115457903175-1.3005164616543108j)
39,(-0.7464997098047962-1.8672325816978677j),(0.27299619281767556-1.2805552303042194j)
40,(-0.7366649388816076-1.8891703529809807j),(0.27074423177656237-1.2618277232399016j)
41,(-0.727339517530364-1.9096002176403983j),(0.2690983562138486-1.244332822031286j)
42,(-0.7184979523795276-1.928534342163322j),(0.26802193720915596-1.2280547825736674j)
43,(-0.7101258769404736-1.9459968679653974j),(0.2674893162894625-1.2129664451179782j)
44,(-0.7022198343730611-1.9620213015256491j),(0.2674856257764387-1.1990318506607751j)
45,(-0.6947865162777505-1.9766485416629145j),(0.26800606501535335-1.1862082167679189j)
46,(-0.6878416932109327-1.9899254973759202j),(0.2690548677605286-1.174447319594581j)
47,(-0.6814089919921014-2.0019042063952748j),(0.2706441154341761-1.1636963722038234j)
48,(-0.6755186102336821-2.012641352095728j),(0.2727924864189826-1.1538985018270496j)
49,(-0.670206012138863-2.0221980796230996j),(0.27552398524365335-1.1449929255190063j)
50,(-0.6655106193352542-2.0306400212886015j),(0.2788666653216949-1.1369149144518362j)
51,(-0.6614744930076383-2.0380374510928636j),(0.28285134146434593-1.1295956272526242j)
52,(-0.6581409958235854-2.044465496254712j),(0.287510280665476-1.1229618847312848j)
53,(-0.6555534218312972-2.0500043393084533j),(0.29287585936635746-1.1169359526058353j)
54,(-0.6537535880692651-2.0547393483202927j),(0.2989791809716674-1.1114353947957323j)
55,(-0.6527803918958321-2.0587610763832833j),(0.30584865764143204-1.1063730562050735j)
56,(-0.6526683519085748-2.062165076490081j),(0.3135085742177582-1.101657228951681j)
57,(-0.6534461663719591-2.0650514859589744j),(0.3219776681596941-1.0971920479134114j)
58,(-0.6551353393597523-2.067524347346002j),(0.33126777561475995-1.0928781487143864j)
59,(-0.657748938798943-2.0696906510708883j),(0.34138260771009726-1.0886136030026918j)
60,(-0.6612905593321172-2.0716591085386944j),(0.35231672986216983-1.084295122351425j)
61,(-0.6657535635625151-2.073538691620121j),(0.36405481755141034-1.0798194950732756j)
62,(-0.6711206658237702-2.0754370017625625j),(0.37657125260045-1.0750851928692913j)
63,(-0.67736390274986-2.0774585555060128j),(0.38983010415571395-1.0699940607641447j)
64,(-0.6844450063582425-2.079703088392102j),(0.40378551004684343-1.064452988590625j)
65,(-0.6923161619383144-2.082263982800004j),(0.41838244082047915-1.0583754587535257j)
66,(-0.7009210999953441-2.0852269157802734j),(0.4335577957472423-1.051682874465887j)
67,(-0.7101964442609623-2.0886688017246002j),(0.4492417529029875-1.0443055938718608j)
68,(-0.7200732206100404-2.09265707530396j),(0.4653592782891335-1.0361836248540441j)
69,(-0.7304784267118739-2.0972493275680995j),(0.48183169397084347-1.02726696783274j)
70,(-0.7413365689702529-2.10249327761663j),(0.49857821195408786-1.0175156243128747j)
71,(-0.7525710892309891-2.1084270379641437j),(0.5155173564506985-1.0068993131856776j)
72,(-0.7641056250965123-2.1150796159710863j),(0.5325682185350824-0.9953969525069557j)
73,(-0.7758650705479062-2.12247158690776j),(0.5496515100402725-0.9829959712450845j)
74,(-0.7877764246638834-2.1306158752056903j),(0.5666904046048445-0.9696915144759393j)
75,(-0.7997694333989219-2.1395185871507563j),(0.5836111709223425-0.9554855987770583j)
76,(-0.8117770416889215-2.149179848343637j),(0.6003436155126983-0.9403862644825972j)
77,(-0.8237356806268566-2.159594610584201j),(0.6168213597668047-0.92440676011288j)
78,(-0.8355854177728338-2.1707534038307683j),(0.6329819792917858-0.9075647832846464j)
79,(-0.8472699988191645-2.182643018527429j),(0.6487670336933019-0.8898817927517777j)
80,(-0.858736806850817-2.195247111394353j),(0.6641220129030118-0.871382398409402j)
81,(-0.8699367622309782-2.208546733638802j),(0.6789962229006411-0.8520938302109498j)
82,(-0.8808241824067697-2.2225207846236565j),(0.6933426298994619-0.8320454828404752j)
83,(-0.8913566171671851-2.2371463966109433j),(0.7071176782582617-0.8112685303630107j)
84,(-0.9014946714014748-2.252399257605673j),(0.7202810938629052-0.7897956036145194j)
85,(-0.9112018243650134-2.268253879873875j),(0.7327956816527725-0.7676605224747289j)
86,(-0.9204442519190579-2.2846838216659275j),(0.7446271234155365-0.7448980751200475j)
87,(-0.929190656164296-2.301661869258004j),(0.7557437799373892-0.7215438366640428j)
88,(-0.9374121052900938-2.319160185791912j),(0.7661165000379964-0.6976340200993055j)
89,(-0.9450818852497205-2.337150432662835j),(0.7757184378866918-0.6732053530459137j)
90,(-0.9521753639791622-2.3556038684526426j),(0.7845248792318983-0.6482949744191754j)
91,(-0.9586698682404058-2.374491429683282j),(0.7925130767241182-0.6229403457172091j)
92,(-0.9645445727323319-2.393783796998223j),(0.7996620943239379-0.5971791721884222j)
93,(-0.9697804008264248-2.4134514497834463j),(0.8059526608123536-0.5710493296809782j)
94,(-0.9743599361113424-2.433464711718269j),(0.8113670326135067-0.5445887935252497j)
95,(-0.9782673438394777-2.4537937892975896j),(0.8158888664478735-0.5178355663876169j)
96,(-0.981488301335491-2.4744088049860884j),(0.8195031026976719-0.4908276026900801j)
97,(-0.9840099364342221-2.4952798263452918j),(0.8221958607180209-0.463602727936492j)
98,(-0.9858207730487012-2.5163768922074494j),(0.8239543475934301-0.4361985521264456j)
99,(-0.9869106830193168-2.537670036749858j),(0.8247667819447094-0.40865237735016896j)
100,(-0.9872708434544243-2.5591293121416556j),(0.8246223342728201-0.3810011005921107j)
101,(-0.9868936988367776-2.580724810286703j),(0.823511084940933-0.35328111364924103j)
102,(-0.9857729272345503-2.6024266840651142j),(0.82142400023718-0.32552820279620054j)
103,(-0.9839034100191975-2.624205168377746j),(0.8183529260620541-0.2977774513025548j)
104,(-0.9812812045525784-2.6460306012186616j),(0.8142905977227437-0.2700631480408182j)
105,(-0.9779035193624973-2.667873444936451j),(0.8092306632005825-0.24241870516195668j)
106,(-0.9737686913782112-2.6897043077942704j),(0.8031677162125545-0.21487658714353408j)
107,(-0.9688761648453931-2.711493965897248j),(0.7960973345348624-0.18746825246319887j)
108,(-0.9632264715840777-2.733213385523502j),(0.7880161184967799-0.16022410777894502j)
109,(-0.9568212122925451-2.754833745869432j),(0.7789217243571424-0.13317347288600784j)
110,(-0.9496630386359636-2.776326462199663j),(0.7688128874869853-0.10634455294518946j)
111,(-0.9417556358907331-2.7976632093765326j),(0.757689430926863-0.0797644125984407j)
112,(-0.9331037059443791-2.8188159457320285j),(0.7455522559963443-0.05345894464066482j)
113,(-0.9237129504765289-2.8397569372361193j),(0.7324033132610911-0.027452823916440317j)
114,(-0.9135900541697666-2.8604587819088354j),(0.7182455544109725-0.00176943505944882j)
115,(-0.9027426678195648-2.8808944344185066j),(0.7030828686433048+0.023569239402258513j)
116,(-0.8911793912311199-2.901037230805909j),(0.6869200112522575+0.0485427861568696j)
117,(-0.8789097558071691-2.9208609132715164j),(0.6697625377228255+0.07313260103187832j)
118,(-0.8659442067456037-2.9403396549626604j),(0.6516167643644272+0.09732222100450817j)
119,(-0.8522940847787981-2.9594480846968407j),(0.6324897873669048+0.12109776835590196j)
120,(-0.8379716073980318-2.978161311558086j),(0.6123896075154556+0.14444852570329964j)
121,(-0.822989849517151-2.996454949304147j),(0.5913254294805111+0.16736765474287285j)
122,(-0.8073627235384528-3.0143051405234513j),(0.5693082345180965+0.18985305623072288j)
123,(-0.7911049587924438-3.031688580482587j),(0.5463517643516616+0.21190833516538066j)
124,(-0.7742320803302538-3.0485825406066196j),(0.5224740982884037+0.2335437682957924j)
125,(-0.756760387054244-3.064964891536627j),(0.497700039650217+0.25477704855479594j)
126,(-0.7387069291781488-3.080814125710825j),(0.472064509538665+0.2756333773701391j)
127,(-0.7200894850133777-3.0961093794177654j),(0.44561698717256+0.2961441843869782j)
128,(-0.7009265370828937-3.1108304542722864j),(0.4184265909145525+0.3163434471331448j)
129,(-0.6812372475681286-3.124957838066913j),(0.3905865192935377+0.3362605206825217j)
130,(-0.6610414330983284-3.138472724953795j),(0.3622153640948964+0.35590909670931936j)
131,(-0.6403595388949331-3.1513570349141427j),(0.33345203599097+0.37527393858370467j)
132,(-0.619212612286803-3.163593432474394j),(0.3044422475091678+0.39430001119484936j)
133,(-0.5976222756145518-3.175165344630375j),(0.2753186428846175+0.41289023152688614j)
134,(-0.5756106985449052-3.18605697794266j),(0.2461816478556899+0.4309153306987716j)
135,(-0.5532005698180513-3.1962533347683597j),(0.2170891462686679+0.4482327816497524j)
136,(-0.5304150684529172-3.2057402285965106j),(0.18805822205872638+0.4647067810228603j)
137,(-0.5072778344370609-3.2145042984559375j),(0.15907568785956894+0.48022216567178694j)
138,(-0.4838129389295003-3.2225330223665067j),(0.130111300193343+0.49469000467821017j)
139,(-0.46004485400615786-3.229814729806119j),(0.1011290251364134+0.5080467310728378j)
140,(-0.43599842197888167-3.2363386131677423j),(0.07209459187661887+0.5202499604150144j)
141,(-0.411698824320275-3.2420947381823564j),(0.04297958821469012+0.5312734708918492j)
142,(-0.3871715502274724-3.247074053285049j),(0.013763104408174017+0.5411026715009876j)
143,(-0.3624423648590837-3.2512683979034174j),(-0.015568081799792641+0.5497310237040508j)
144,(-0.33753727728031746-3.2546705096485806j),(-0.04502006101356438+0.5571574257800342j)
145,(-0.3124825081521133-3.257274030390706j),(-0.07459264806218202+0.5633843934273292j)
146,(-0.2873044572008825-3.2590735112024234j),(-0.10428029762355992+0.5684168383083626j)
147,(-0.26202967050602394-3.2600644161545964j),(-0.13407296359977483+0.5722612715641849j)
148,(-0.23668480764309022-3.2602431249506942j),(-0.1639568560379387+0.5749252990547747j)
149,(-0.2112966087209206-3.2596069343867935j),(-0.1939150854299241+0.5764173120239002j)
150,(-0.18589186135167507-3.258154058625998j),(-0.2239282010805778+0.576746306074771j)
151,(-0.16049736759306604-3.2558836282769033j),(-0.2539746368690663+0.5759217827130536j)
152,(-0.13513991090256047-3.2527956882673004j),(-0.28403107925367926+0.5739537027377855j)
153,(-0.10984622314359326-3.248891194505174j),(-0.31407277155352353+0.570852471085625j)
154,(-0.08464295168434517-3.2441720093205926j),(-0.3440737668094429+0.566628939739898j)
155,(-0.05955662662969411-3.2386408956829107j),(-0.37400713958021176+0.5612944200370604j)
156,(-0.034613628227330974-3.2323015101890507j),(-0.40384516518272096+0.5548606988725528j)
157,(-0.009840154489175655-3.2251583948196756j),(-0.4335594732572531+0.5473400554293998j)
158,(0.01473781093064342-3.217216967461212j),(-0.463121181157802+0.5387452764670762j)
159,(0.039094530559944676-3.208483511192697j),(-0.49250101151935055+0.5290896691431598j)
160,(0.06320454459334386-3.1989651623374704j),(-0.5216693974102372+0.5183870709486887j)
161,(0.08704270199661601-3.1886698972809726j),(-0.5505965777077+0.5066518567221345j)
162,(0.11058419118930068-3.1776065180564865j),(-0.5792526847096154+0.493898942935393j)
163,(0.13380457026468048-3.1657846367021527j),(-0.6076078254919077+0.48014378956590825j)
164,(0.15667979670644652-3.1532146583930123j),(-0.6356321581188482+0.4654023999150377j)
165,(0.17918625656187068-3.139907763353124j),(-0.6632959634968382+0.44969131872823254j)
166,(0.20130079303176907-3.1258758875532626j),(-0.690569713417532+0.4330276289352055j)
167,(0.22300073443829282-3.111131702200703j),(-0.7174241351521631+0.4154289472713679j)
168,(0.24426392153235343-3.0956885920281394j),(-0.7438302728254755+0.396913418975667j)
169,(0.26506873410345305-3.0795606323893088j),(-0.7697595457060269+0.3774997116919019j)
170,(0.28539411685597127-3.06276256516934j),(-0.795183803491582+0.3572070086364924j)
171,(0.3052196045172578-3.045309773518229j),(-0.8200753786365348+0.3360550010388533j)
172,(0.32452534614452694-3.0272182554157308j),(-0.8444071357564285+0.31406387981348666j)
173,(0.3432921285995158-3.0085045960760968j),(-0.8681525181466888+0.2912543263864586j)
174,(0.36150139916200436-2.989185939200614j),(-0.8912855914641656+0.2676475025730832j)
175,(0.3791352872558282-2.969279957085286j),(-0.913781084636706+0.24326503938759206j)
176,(0.3961766252640203-2.9488048195902263j),(-0.9356144280847967+0.21812902465807685j)
177,(0.4126089684130168-2.9277791619758244j),(-0.9567617893583101+0.19226198931944172j)
178,(0.4284166137097334-2.906222051609286j),(-0.977200106308305+0.16568689226178j)
179,(0.44358461791973997-2.8841529535426065j),(-0.9969071179286689+0.13842710361988272j)
180,(0.45809881457986695-2.861591694960716j),(-1.0158613930140123+0.11050638639992563j)
181,(0.4719458300443029-2.8385584284946814j),(-1.0340423567889754+0.0819488763503838j)
182,(0.4851130985699692-2.815073594391117j),(-1.0514303156702394+0.05277905999484674j)
183,(0.4975888764546057-2.791157881523777j),(-1.0680064803265428+0.02302175075370178j)
184,(0.5093622552497024-2.766832187227487j),(-1.0837529872044123-0.007297936911114396j)
185,(0.5204231740806328-2.742117575927788j),(-1.0986529186891536-0.038154615389216454j)
186,(0.5307624311180644-2.717035236531423j),(-1.1126903220722235-0.06952265391171195j)
187,(0.5403716942581763-2.6916064385334884j),(-1.1258502274986195-0.10137621069797245j)
188,(0.5492435110851209-2.665852486786258j),(-1.1381186650718904-0.1336892673233317j)
189,(0.5573713182075255-2.6397946748622374j),(-1.1494826813006536-0.1664356653790932j)
190,(0.5647494500823911-2.6134542369296785j),(-1.1599303550800635-0.19958914550667062j)
191,(0.5713731474651597-2.586852298042938j),(-1.1694508134151402-0.23312338890114506j)
192,(0.5772385656546652-2.5600098227315757j),(-1.1780342471114844-0.2670120613961516j)
193,(0.5823427827372859-2.532947561751969j),(-1.1856719266836686-0.30122886026147777j)
194,(0.5866838080769021-2.5056859968425576j),(-1.1923562187637935-0.3357475638671522j)
195,(0.5902605913479844-2.478245283298946j),(-1.1980806033339848-0.3705420843928968j)
196,(0.5930730324700259-2.4506451901583017j),(-1.2028396921588849-0.40558652378923743j)
197,(0.5951219928747331-2.4229050377534698j),(-1.2066292488597508-0.44085523322612j)
198,(0.5964093086264293-2.395043632367582j),(-1.2094462111534672-0.4763228762956461j)
199,(0.5969378060236997-2.3670791976892684j),(-1.2112887158816281-0.511964496266745j)
